location_id,field_name,community,address,city,state,zip,latitude,longitude,game_count
618,Kenston High School Bomber Stadium,Kenston,9500 Bainbridge Road,Chagrin Falls,OH,44023,41.392948,-81.303825,16
651,Rootstown Community Park,Rootstown,4104 Case Ave,Rootstown,OH,44272,41.093884,-81.225624,16
774,Pleasant Valley (7v7),New Philadelphia,2012 Pleasant Valley Rd NE,New Philadelphia,OH,44663,40.507915,-81.418518,15
50,Chagrin Falls High School,Chagrin Falls,400 E. Washington St.,Chagrin Falls,OH,44022,41.428261,-81.381477,14
112,Canterbury Elementary School,Eastside Kickers,2530 Canterbury Rd,Cleveland Heights,OH,44118,41.491676,-81.549850,14
23,Fairview Park High School 11 v 11,Fairview Park,4507 W. 213 St,Fairview Park,OH,44126,41.442810,-81.855774,12
63,Baumgardner Middle School,Eastside Kickers,3665 Monticello Blvd,Cleveland Heights,OH,44121,41.531681,-81.548843,12
126,Independence High School (Grass),Independence,6001 Archwood Road,Independence,OH,44131,41.374195,-81.649071,12
129,Nordonia High School,Nordonia,8006 south bedford rd,Macedonia,oh,44056,41.302628,-81.511078,12
155,Bath Community Center,Revere,1615 N Cleveland Massilon Rd,Akron,Oh,44333,41.179089,-81.630600,12
499,Stonewater Field,Kent,502 Stonewater Drive,Kent,OH,44240,41.156147,-81.382210,12
524,Hoover High Soccer Stadium,North Canton,426 Wise Ave NE,North Canton,OH,44720,40.880985,-81.393486,12
575,Pleasant Valley (9v9),New Philadelphia,2012 Pleasant Valley Rd NE,New Philadelphia,Oh,44663,40.507915,-81.418518,12
577,Newton Park,Barberton,760 Newton St,Barberton,OH,44203,41.030369,-81.598389,12
594,Logan Field - #330,PLX United,2701 N Turkeyfoot Rd,Akron,OH,44319,41.014530,-81.532486,12
689,Dudley Park,Wickliffe,31500 Willowick Dr,Willowick,Oh,44095,41.639450,-81.463905,12
715,Mantua Soccer,Mantua,11045 St Joseph Blvd,Mantua,OH,44255,41.292488,-81.229774,12
758,Firelands High School,Firelands,10521 Vermilion Rd,Oberlin,OH,44074,41.338608,-82.299347,12
61,Denison Park,Eastside Kickers,1015 Quarry Rd,Cleveland Heights,OH,44121,41.534809,-81.532402,11
74,Tiger Stadium - Turf,Twinsburg,10270 Ravenna Rd.,Twinsburg,Oh,4087,41.321110,-81.455894,11
109,Mayfield High School Stadium,Mayfield,6116 Wilson Mills Road,Mayfield Village,OH,44143,41.538918,-81.459007,11
228,Midview High School Turf (11v11),Midview,38199 Capel Rd,Grafton,Oh,44044,41.294323,-82.019897,11
257,Olmsted Falls High School Stadium,Olmsted Falls,26939 Bagley Road,Olmsted Falls,OH,44138,41.370056,-81.927521,11
654,Desan Park,Eastside Kickers,483 Trebisky Rd,Richmond Hts,Oh,44143,41.550339,-81.509888,11
732,Copley Fairlawn Middle School,Copley,1531 South Cleveland Massillon Rd,Copley,OH,44321,41.096272,-81.643074,11
739,Newbury Field 11v11,West Geauga,14775 Auburn Road,Newbury,Oh,,41.467171,-81.243523,11
361,Goldwood Primary School,Rocky River,21600 Center Ridge Rd,Rocky River,Oh,44116,41.461803,-81.859558,10
9,Eastlake Travel Soccer,Eastlake,35754 Lake Shore Blvd.,Eastlake,OH,44095,41.665573,-81.426666,8
42,Memorial Pool Field,Euclid,22450 Milton Drive,Euclid,OH,44123,41.601166,-81.523972,8
389,Broadview Heights Rec Center,Broadview Hts.,9543 Broadview Rd.,Broadview Heights,OH,44147,41.306656,-81.680763,8
394,Streetsboro High School,Streetsboro,8585 OH-14,Streetsboro,OH,44241,41.222881,-81.319687,8
416,Edson Park U13/U14,Field,4484 Edson Rd.,Kent,OH,44240,41.109325,-81.340416,8
500,Al Lease Field,Kent,1100 Denise Drive,Kent,OH,44240,41.158997,-81.383232,8
543,Broadview Heights C Field,Broadview Hts.,8938 Broadview Rd.,Broadview Heights,Oh,44147,41.322468,-81.685852,8
578,Barberton Community Sports Complex,Barberton,841 Wooster Rd W,Barberton,OH,44203,41.013359,-81.619972,8
581,Doylestown Memorial Turf Stadium,Chippewa,470 Park Drive,Doylestown,OH,44230,40.974525,-81.693085,8
587,Edinburg Park,Southeast,4326 Rock Spring RD,Ravenna,Oh,44266,41.107376,-81.145866,8
626,North Lawrence Township Park,Mustangs Jr,6235-6369 Manchester Ave NW,North Lawrence,Oh,44666,40.868210,-81.605087,8
627,North Larwrence Township Park,Mustangs Jr,6235-6369 Manchester Ave NW,North Lawrence,oh,44666,40.868210,-81.605087,8
721,Willowick Middle School,Wickliffe,"31500 Royalview Dr,",Willowick,OH,44095,41.631386,-81.461731,8
759,HowlandTownship Park,Warren,2000 Rosengarden Dr NE,Warren,OH,44484,41.247688,-80.750862,8
770,Woodridge Middle School,Cuyahoga Falls,4451 Quick Rd,Peninsula,OH,44264,41.194160,-81.508919,8
793,Fairless High School- Fred Brideweser Stadium,Fairless,11885 Navarre Road SW,Navarre,Oh,44662,40.703606,-81.585693,8
40,Orlando Park,Wickliffe,30100 Twin Lakes Dr.,Wickliffe,OH,44092,41.608578,-81.458763,7
598,North Lawrence Township Park,Mustangs Jr,6235-6369 Manchester Ave NW,North Lawrence,Oh,44666,40.868210,-81.605087,6
728,Jackson High School,Jackson,7600 Fulton Drive NW,Massillon,OH,44646,40.858982,-81.490158,6
749,Tru-Lay Stadium,Port Clinton,601 Fremont Rd.,Port Clinton,OH,43452,41.507683,-82.950867,6
161,Jindra Park,Wickliffe,900 Worden Rd.,Wickliffe,OH,44092,41.621014,-81.475555,5
307,Beaver Creek Park,Amherst,913 N Lake St,Amherst,OH,44001,41.407028,-82.237617,5
4,Rocky River Middle School,Rocky River,1631 Lakeview Ave,Rocky River,OH,44116,41.476170,-81.842758,4
111,Babbitt Road Field,Euclid,22550 Milton Drive,Euclid,OH,44123,41.600868,-81.522835,4
151,Bay High School,Bay Village,29230 Wolf Road,Bay Village,Oh,44140,41.485695,-81.942520,4
182,Brownhelm School,Firelands,1960 North Ridge Road,Amherst,Oh,44001,41.389786,-82.287964,4
481,Fishcreek Field,Kent,390 McKinney Blvd,Kent,OH,44240,41.169628,-81.370918,4
512,Brimfield Elementary School U9/U10,Field,4170 OH-43,Kent,OH,44240,41.103687,-81.343719,4
522,Canfield Township Park,Canfield,7419 Herbert Rd,Canfield,OH,44406,41.040981,-80.791306,4
582,Crossroads Soccer Fields Doylestown,Chippewa,700 Gates Street,Doylestown,OH,44230,40.984077,-81.697914,4
597,Becker Field,Dover,"2208 N Walnut Street, Rear",Dover,OH,44622,40.541142,-81.494011,4
607,Field High School,Field,2900 State Route 43,Mogadore,Oh,44260,41.068146,-81.345078,4
665,Charles R Hoagland West Rec (11v11),Elyria,505 Clemens Ave,Elyria,Oh,44035,41.381306,-82.136299,4
671,Norton Stadium (Turf),Norton,1 Panther Way,Norton,OH,44203,41.034611,-81.642212,4
772,Southside Community Park (11v11),New Philadelphia,989 Perry Dr SE,New Philadelphia,OH,44663,40.460686,-81.457581,4
787,4th Street Field,Fairless,498 Lincoln Ave SW,Brewster,OH,44613,40.709606,-81.604462,4
58,Geneva High School,Geneva,1301 S Ridge E,Geneva,OH,44041,41.800232,-80.928825,3
242,Strausser Elementary School,Jackson,8646 Strausser Street Northwest,Massillon,OH,44646,40.893726,-81.510094,3
312,Cove Park,Lakewood,1294 Cove Ave,Lakewood,OH,44107,41.487297,-81.776825,3
617,River Road Park,Kenston,17535 Chagrin River Road,Chagrin Falls,OH,44023,41.391235,-81.384621,3
662,Heigel Park,Port Clinton,4616 E Catawba Woods Rd,Port Clinton,OH,43452,41.576050,-82.847198,3
716,John Braun Park,Port Clinton,2370 N.E. Catawba Rd,Port Clinton,Oh,43452,41.559254,-82.833633,3
760,Warren JFk High School,Warren,2550 Central Parkway Ave,Warren,OH,44484,41.216816,-80.786057,3
33,Stanton Park,Madison,5585 Chapel Road,Madison,Oh,44057,41.821083,-81.091743,2
243,Jackson North Park,Jackson,7549 Community Pkwy NW,Massillon,OH,44646,40.862534,-81.489983,2
262,North Royalton Memorial Park Soccer Field,North Royalton,14600 State Rd,North Royalton,OH,44133,41.309700,-81.727478,2
456,Hudson High School,Hudson,2500 Hudson Aurora Road,Hudson,OH,44236,41.255775,-81.413589,2
722,Tuslaw High School,Mustangs Jr,1847 Manchester Ave NW,Massillon,Oh,44647,40.810730,-81.602562,2
165,Fairlawn Fields,Copley,3303 Ridgewood Rd.,Fairlawn,OH,44333,41.111931,-81.632622,1
495,Tallmadge HS Stadium,Tallmadge,140 North Monroe Road,Tallmadge,OH,44278,41.105171,-81.413048,1
683,Chelton Park,Shaker Hts.,3645 Chelton Road,Shaker Heights,OH,44120,41.461033,-81.567146,1
767,High School Field,Amherst,450 Washington St,AMHERST,Oh,44001,41.403816,-82.222336,1
